"Plot","Subplot","Area","AMIN","AVBA","AVFA","BOIN","BRDI","BRHO","BRMA","CABU","CAME","CLPE","CLPU","CRSE","DICA","ERCI","FOVA","GAAP","GECA","LELA","MAVU","PLNO","SABI","STME","THCU","Unk1","Unk2","Unk3","Unk4","Unk5","Notes"
1,1,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
1,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
1,3,0.25,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
1,4,0.25,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
1,5,0.25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
1,6,0.25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
1,7,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
1,8,0.25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
1,9,0.25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
1,10,0.25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
1,11,2.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
1,12,2.5,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,"Julia, Elizabeth, Sage, Austin, Jessica -- NW facing"
2,1,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vivian, Morgan, Leslie, Ariel, Ivette -- SW facing"
2,2,0.25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vivian, Morgan, Leslie, Ariel, Ivette -- SW facing"
2,3,0.25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vivian, Morgan, Leslie, Ariel, Ivette -- SW facing"
